Item Code,Item Description,RRP,Unit Price,Stock on Hand,Supplier Stock Code,GTIN
80004410,Mobling iPhone 16e/15/14/13 Drop Case Magsafe - 3M Clear,59.95,26.07,495,,9420311523752
80004415,Mobling iPhone 16e/15/14/13 Folio Wallet Case Black,59.95,26.07,0,,9420311523769
90033325,In Touch iPhone 7/8/SE Milano Wallet Case Black,34.95,18.23,0,IT-MIL3496,6009707686801
90033330,In Touch iPhone 11 Milano Wallet Case Black,34.95,18.23,0,IT-MIL3537,6009707687211
90033335,In Touch iPhone 12 Mini Milano Wallet Case Black,34.95,18.23,0,IT-MIL3497,6009707686818
90033360,In Touch Samsung A01 Milano Wallet Case Black,34.95,18.23,0,IT-MIL3502,6009707686863
90033365,In Touch Samsung A11 Milano Wallet Case Black,34.95,18.23,0,IT-MIL3503,6009707686870
90033370,In Touch Samsung A21s Milano Wallet Case Black,34.95,18.23,0,IT-MIL3504,6009707686887
90033375,In Touch Samsung A31 Milano Wallet Case Black,34.95,18.23,0,IT-MIL3505,6009707686894
90033380,In Touch Smart V11 Milano Wallet Case Black,34.95,18.23,0,IT-MIL3506,6009707686900
90033385,In Touch Oppo A5 (2020) Milano Wallet Case Black,34.95,18.23,0,IT-MIL3507,6009707686917
90033410,In Touch Huawei Y9 Prime Milano Wallet Case Black,34.95,18.23,0,IT-MIL3512,6009707686962
90034955,In Touch Samsung A02s Milano Wallet Case Black,34.95,18.23,0,IT-MIL3582,6009707687709
90034965,In Touch Samsung A52 Milano Wallet Case Black,34.95,18.23,0,IT-MIL3584,6009707687723
90034970,In Touch Samsung A72 Milano Wallet Case Black,34.95,18.23,0,IT-MIL3585,6009707687730
90035020,In Touch Samsung S21 Plus Milano Wallet Case Black,34.95,18.23,0,IT-MIL3580,6009707687617
90041800,In Touch Samsung S22 Milano Wallet Case Black,34.95,18.23,0,IT-MIL4021,6009707688348
90041810,In Touch Samsung S22 Ultra Milano Wallet Case Black,34.95,18.23,0,IT-MIL4023,6009707688362
90043310,Samsung S21 FE Silicone with Strap Cover White,69.00,39.00,0,EF-GG990TWEGWW,8806094191837
90043315,Samsung S21 FE Silicone with Strap Cover Navy,69.00,39.00,0,EF-GG990TNEGWW,8806094191844
90043340,Samsung S21 FE Silicone Cover Coral,39.00,22.04,0,EF-PG990TPEGWW,8806092680906
90043355,Samsung S21 FE Slim Strap Cover White,39.00,22.04,0,EF-XG990CWEGWW,8806092653252
90043365,Samsung S21 FE Slim Strap Cover Lavender,39.00,22.04,0,EF-XG990CVEGWW,8806092653221
90043460,Samsung Galaxy S22 Clear Standing Cover Transparency,20.00,12.17,0,EF-JS901CTEGWW,8806092992719
90043545,Samsung Galaxy S22+ Silicone Cover Black,20.00,12.17,0,EF-PS906TBEGWW,8806092992580
90043560,Samsung Galaxy S22+ Silicone Cover Butter Yellow,39.00,22.04,0,EF-PS906TYEGWW,8806092992535
90043635,Samsung Galaxy S22 Ultra Silicone with Strap Cover Navy,69.00,39.00,0,EF-GS908TNEGWW,8806094025064
90044235,In Touch Samsung S21FE Milano Wallet Case Black,34.95,18.23,0,IT-MIL4056,6009707688867
90044325,Gear4 Denali iPhone 13 Case  Black,69.95,36.49,0,702008212,840056146655
90044855,Samsung A33 Smart S View Wallet Cover Black,69.00,45.00,0,EF-EA336PBEGWW,8806094237825
90044870,Samsung A33 Card Slot Cover Peach,29.00,13.87,0,EF-OA336TPEGWW,8806094237634
90044880,Samsung A53 5G Smart S View Wallet Cover Black,69.00,45.00,0,EF-EA536PBEGWW,8806094237801
90044896,Samsung A53 Silicone Cover Artic Blue,39.00,25.43,0,EF-PA536TLEGWW,8806094243567
90045995,ZAGG Keyboard Messenger Case 2 Folio iPad 10.2 / 10.5" Charcoal,109.95,66.93,0,103007169,840056136670
90046035,In Touch A13 4G Milano Wallet Case Black,34.95,15.20,0,IT-MIL4090,6009707689178
90046050,In Touch A23 4G Milano Wallet Case Black,34.95,15.20,0,IT-MIL4131,6009707689345
90046995,In Touch iPhone 14/15/16e Vanguard Drop Protection Case Clear,29.95,13.02,0,IT-VAN4145,6009707689420
90047000,In Touch iPhone 14 Pro/15 Pro Vanguard Drop Protection Case Clear,29.95,13.02,0,IT-VAN4146,6009707689437
90047005,In Touch iPhone 14+/15+/16+ Vanguard Drop Protection Case Clear,29.95,13.02,387,IT-VAN4147,6009707689444
90047010,In Touch iPhone 14/15 Pro Max Vanguard Drop Protection Case Clear,29.95,13.02,0,IT-VAN4424,6009707689499
90047015,In Touch iPhone 14 Milano Wallet Case Black,34.95,18.23,0,IT-MIL4148,6009707689451
90047020,In Touch iPhone 14/15 Pro Milano Wallet Case Black,34.95,18.23,0,IT-MIL4149,6009707689468
90047025,In Touch iPhone 14+/15+ Milano Wallet Case Black,34.95,18.23,0,IT-MIL4150,6009707689475
90047030,In Touch iPhone 14/15 Pro Max Milano Wallet Case Black,34.95,18.23,0,IT-MIL4425,6009707689505
90047095,Samsung Galaxy Watch5 D-Buckle Sport Band Black,119.00,77.61,0,ET-SFR92LBEGWW,8806094527865
90049180,Samsung A04 Soft Clear Cover Black,25.00,11.96,0,EF-QA045TBEGWW,8806094619164
90049630,ITSKINS Samsung S23 SPECTRUM R CLEAR Transparent,44.95,27.36,0,SGJO-SPECM-TRSP,4894465399948
90049650,ITSKINS Samsung S23 Ultra BALLISTIC R NYLON Dark Blue,69.95,42.58,0,SGCR-HYBFS-DABL,4894465696290
90050105,Samsung S23 Smart View Wallet Black,75.00,47.48,0,EF-ZS911CBEGWW,8806094772623
90050120,Samsung S23 Smart View Wallet Cream,75.00,47.48,0,EF-ZS911CUEGWW,8806094886825
90050125,Samsung S23 Silicone Navy,45.00,27.70,0,EF-PS911TNEGWW,8806094770803
90050135,Samsung S23 Silicone Cream,45.00,27.70,0,EF-PS911TUEGWW,8806094770797
90050140,Samsung S23 Silicone Lavender,45.00,27.70,0,EF-PS911TVEGWW,8806094770773
90050145,Samsung S23 Silicone Orange,45.00,27.70,0,EF-PS911TOEGWW,8806094770810
90050150,Samsung S23 Clear Case Transparent,39.00,24.87,0,EF-QS911CTEGWW,8806094768909
90050155,Samsung S23 Leather Black,89.00,55.96,0,EF-VS911LBEGWW,8806094770421
90050160,Samsung S23 Leather Camel,89.00,55.96,0,EF-VS911LAEGWW,8806094770438
90050165,Samsung S23 Leather Green,89.00,55.96,0,EF-VS911LGEGWW,8806094770414
90050170,Samsung S23 Silicone Grip Black,75.00,44.65,0,EF-GS911TBEGWW,8806094768893
90050180,Samsung S23 Gadget Case Transparent,85.00,53.13,0,EF-XS911CTEGWW,8806094771190
90050185,Samsung S23 Rugged Black,95.00,55.96,0,EF-RS911CBEGWW,8806094902037
90050200,Samsung S23+ Smart View Wallet Green,75.00,47.48,0,EF-ZS916CGEGWW,8806094772869
90050205,Samsung S23+ Smart View Wallet Lavender,75.00,47.48,0,EF-ZS916CVEGWW,8806094772852
90050210,Samsung S23+ Smart View Wallet Cream,75.00,47.48,0,EF-ZS916CUEGWW,8806094886795
90050215,Samsung S23+ Silicone Navy,45.00,27.70,0,EF-PS916TNEGWW,8806094770643
90050235,Samsung S23+ Silicone Orange,45.00,27.70,0,EF-PS916TOEGWW,8806094770629
90050240,Samsung S23+ Clear Case Transparent,39.00,24.87,0,EF-QS916CTEGWW,8806094768831
90050250,Samsung S23+ Leather Camel,89.00,55.96,0,EF-VS916LAEGWW,8806094770407
90050255,Samsung S23+ Leather Green,89.00,55.96,0,EF-VS916LGEGWW,8806094770445
90050260,Samsung S23+ Silicone Grip Black,75.00,44.65,0,EF-GS916TBEGWW,8806094768879
90050270,Samsung S23+ Gadget Case Transparent,85.00,53.13,0,EF-XS916CTEGWW,8806094771183
90050275,Samsung S23+ Rugged Black,95.00,55.96,0,EF-RS916CBEGWW,8806094902020
90050295,Samsung S23 Ultra Smart View Wallet Lavender,75.00,47.48,0,EF-ZS918CVEGWW,8806094772715
90050315,Samsung S23 Ultra Silicone Cream,45.00,27.70,0,EF-PS918TUEGWW,8806094770575
90050330,Samsung S23 Ultra Clear Case Transparent,39.00,24.87,0,EF-QS918CTEGWW,8806094768824
90050335,Samsung S23 Ultra Leather Black,89.00,55.96,0,EF-VS918LBEGWW,8806094770377
90050340,Samsung S23 Ultra Leather Camel,89.00,55.96,0,EF-VS918LAEGWW,8806094770384
90050345,Samsung S23 Ultra Leather Green,89.00,55.96,0,EF-VS918LGEGWW,8806094770360
90050350,Samsung S23 Ultra Silicone Grip Black,75.00,44.65,0,EF-GS918TBEGWW,8806094768848
90050355,Samsung S23 Ultra Silicone Grip White,75.00,44.65,0,EF-GS918TWEGWW,8806094768855
90051015,Zagg Samsung S23 Crystal Palace Clear,59.95,36.49,0,102011108,840056177512
90051020,Zagg Samsung S23 Rio Snap Black,69.95,42.58,0,102011126,840056177697
90051030,Zagg Samsung S23+ Crystal Palace Clear,59.95,36.49,0,102011109,840056177529
90051035,Zagg Samsung S23+ Rio Snap Black,69.95,42.58,0,102011127,840056177703
90051045,Zagg Samsung S23 Ultra Crystal Palace Clear,59.95,36.49,0,102011110,840056177536
90051050,Zagg Samsung S23 Ultra Rio Snap Black,69.95,42.58,0,102011128,840056177710
90051200,Samsung A54 Silicone Cover Black,45.00,27.39,0,EF-PA546TBEGWW,8806094919561
90051280,Samsung A14 Card Slot Cover Black,25.00,15.22,0,EF-OA146TBEGWW,8806094851489
90052555,Samsung Galaxy Z Fold5 ECO-Leather Case Graphite,119.00,77.61,0,EF-VF946PBEGWW,8806095084442
90052565,Samsung Galaxy Z Fold5 Clear Gadget Clear,69.00,45.00,0,EF-XF946CTEGWW,8806095062600
90052890,Samsung Tab S9/S10 Ultra Smart Book Cover White,159.00,103.70,0,EF-BX910PWEGWW,8806095110486
90052925,Samsung Tab S9+ FE/10+ Smart Book Cover Black,149.00,97.17,0,EF-BX810PBEGWW,8806095119229
90053610,Samsung Galaxy Z Fold5 Standing Case With Strap Graphite,99.00,46.27,0,EF-MF946CBEGWW,8806095062617
90054255,In Touch Samsung A04 Vanguard Clear Case Clear,29.95,13.02,0,IT-VAN4505,6009707689734
90054265,In Touch Samsung A14 Vanguard Clear Case Clear,29.95,13.02,0,IT-VAN4708,6009553000448
90054270,In Touch Samsung A24 Vanguard Clear Case Clear,29.95,13.02,0,IT-VAN4717,6009553000387
90054285,Samsung Fold5/6 S Pen  Black,89.00,58.04,0,EJ-PF946BBEGWW,8806095036205
90054590,Samsung Tab A9+ Book Cover White,99.00,60.26,3,EF-BX210TWEGWW,8806095300528
90054595,Samsung Tab A9+ Book Cover Blue,99.00,60.26,15,EF-BX210TLEGWW,8806095300474
90054615,Samsung S23 FE Smart View Wallet Case Black,59.00,33.35,0,EF-ZS711CBEGWW,8806095225975
90054620,Samsung S23 FE Smart View Wallet Case White,59.00,33.35,0,EF-ZS711CWEGWW,8806095244471
90054625,Samsung S23 FE Smart View Wallet Case Mint,59.00,33.35,0,EF-ZS711CMEGWW,8806095244495
90054630,Samsung S23 FE Silicone Case Graphite,49.00,27.70,0,EF-PS711TBEGWW,8806095227887
90054635,Samsung S23 FE Silicone Case Apricot,49.00,27.70,0,EF-PS711TOEGWW,8806095227863
90054640,Samsung S23 FE Silicone Case Mint,49.00,27.70,0,EF-PS711TMEGWW,8806095227870
90054645,Samsung S23 FE Silicone Case White,49.00,27.70,0,EF-PS711TWEGWW,8806095227856
90054650,Samsung S23 FE Clear Gadget Case Transparent,65.00,36.74,0,EF-XS711CTEGWW,8806095225524
90054655,Samsung S23 FE Clear Case Transparent,39.00,22.04,0,EF-QS711CTEGWW,8806095225968
90054665,Samsung A05 Clear Cover Clear,19.00,9.09,0,GP-FPA055VAATW,6976068910114
90055640,In Touch iPhone 15 Plus Vanguard Clear Case Clear,29.95,13.02,0,IT-VAN4875,6009553001070
90055660,In Touch iPhone 15 Pro Max Vanguard Clear Case Clear,29.95,13.02,0,IT-VAN4877,6009553001117
90055670,In Touch Samsung A05 Vanguard Clear Case Clear,29.95,13.02,0,IT-VAN4857,6009553001131
90055680,In Touch Samsung A05s Vanguard Clear Case Clear,29.95,13.02,0,IT-VAN4858,6009553001155
90055690,In Touch Samsung A15 Vanguard Clear Case Clear,29.95,13.02,0,IT-VAN4863,6009553001179
90055720,In Touch Samsung A05 Milano Wallet Case Black,34.95,15.20,0,IT-MIL4867,6009553001230
90055725,In Touch Samsung A05s Milano Wallet Case Black,34.95,15.20,0,IT-MIL4868,6009553001247
90055730,In Touch Samsung A15 Milano Wallet Case Black,34.95,15.20,90,IT-MIL4869,6009553001254
90055755,In Touch Samsung S24 Ultra Milano Wallet Case Black,34.95,15.20,0,IT-MIL4884,6009553001308
90055770,In Touch Samsung S24 Ultra Vanguard Clear Case Clear,29.95,13.02,0,IT-VAN4887,6009553001339
90056220,Samsung S24 Smart View Wallet Black,75.00,45.65,0,EF-ZS921CBEGWW,8806095354682
90056290,Samsung S24 Clear Case Clear,39.00,23.74,0,GP-FPS921SAATW,8809894143648
90056420,Samsung S24+ Smart View Wallet Black,75.00,45.65,3,EF-ZS926CBEGWW,8806095354644
90056425,Samsung S24+ Smart View Wallet Light Green,75.00,45.65,0,EF-ZS926CGEGWW,8806095354637
90056480,Samsung S24+ Shield Case Light Gray,59.00,35.91,0,GP-FPS926SACJW,8809894143785
90056490,Samsung S24+ Clear Case Clear,39.00,23.74,0,GP-FPS926SAATW,8809894143655
90056605,Samsung S24 Ultra Silicone Case Violet,45.00,27.39,0,EF-PS928TVEGWW,8806095426778
90056620,Samsung S24 Ultra Smart View Wallet Black,75.00,45.65,0,EF-ZS928CBEGWW,8806095354606
90056630,Samsung S24 Ultra Smart View Wallet Violet,75.00,45.65,1,EF-ZS928CVEGWW,8806095354590
90056660,Samsung S24 Ultra Flipsuit Case Yellow,69.00,42.00,0,EF-MS928CYEGWW,8806095498485
90056665,Samsung S24 Ultra Vegan Leather Case Taupe,59.00,35.91,0,GP-FPS928HCAAW,6974994161198
90056670,Samsung S24 Ultra Vegan Leather Case Black,59.00,35.91,0,GP-FPS928HCABW,6974994161136
90056680,Samsung S24 Ultra Shield Case Light Gray,59.00,35.91,0,GP-FPS928SACJW,8809894143808
90056685,Samsung S24 Ultra Shield Case Dark Violet,59.00,35.91,0,GP-FPS928SACVW,8809894143815
90056690,Samsung S24 Ultra Clear Case Clear,39.00,23.74,0,GP-FPS928SAATW,8809894143662
90057370,Samsung A15 Card Slot Cover Blue Black,29.00,17.65,0,EF-OA156TBEGWW,8806095450223
90057385,Samsung A25 Card Slot Cover Blue Black,29.00,17.65,39,EF-OA256TBEGWW,8806095236124
90058030,Samsung A55 Smart View Wallet Case Black,69.00,42.00,98,EF-ZA556CBEGWW,8806095546599
90058035,Samsung A55 Smart View Wallet Case White,69.00,42.00,0,EF-ZA556CWEGWW,8806095546575
90058040,Samsung A55 Smart View Wallet Case Lavender,69.00,42.00,0,EF-ZA556CVEGWW,8806095546582
90058045,Samsung A55 Silicone Case Black,39.00,23.74,91,EF-PA556TBEGWW,8806095542560
90058050,Samsung A55 Silicone Case Light Blue,39.00,23.74,7,EF-PA556TLEGWW,8806095542454
90058055,Samsung A55 Silicone Case Lime,39.00,23.74,0,EF-PA556TMEGWW,8806095542447
90058060,Samsung A55 Standing Grip Case Blue Black,79.00,48.09,0,EF-GA556TBEGWW,8806095542522
90058065,Samsung A55 Standing Grip Case Gray,79.00,48.09,0,EF-GA556TJEGWW,8806095542515
90058070,Samsung A55 Clear Case Transparancy,29.00,17.65,0,EF-QA556CTEGWW,8806095546636
90058080,Samsung A35 Smart View Wallet Case Black,69.00,42.00,125,EF-ZA356CBEGWW,8806095546629
90058085,Samsung A35 Smart View Wallet Case White,69.00,42.00,0,EF-ZA356CWEGWW,8806095546605
90058090,Samsung A35 Smart View Wallet Case Lavender,69.00,42.00,0,EF-ZA356CVEGWW,8806095546612
90058095,Samsung A35 Silicone Case Black,39.00,23.74,157,EF-PA356TBEGWW,8806095542508
90058100,Samsung A35 Silicone Case Light Blue,39.00,23.74,50,EF-PA356TLEGWW,8806095542478
90058105,Samsung A35 Silicone Case Lime,39.00,23.74,0,EF-PA356TMEGWW,8806095542461
90058110,Samsung A35 Card Slot Case Black,29.00,17.65,41,EF-OA356TBEGWW,8806095542492
90058115,Samsung A35 Card Slot Case Lime,29.00,17.65,0,EF-OA356TMEGWW,8806095542485
90058120,Samsung A35 Clear Case Transparancy,29.00,17.65,0,EF-QA356CTEGWW,8806095546643
90059020,In Touch Samsung A35 Vanguard Drop Protection Case Clear,29.95,13.02,110,IT-VAN4921,6009553001391
90059030,In Touch Samsung A35 Milano Wallet Case Black,34.95,15.20,92,IT-MIL4923,6009553001414
90059045,In Touch Samsung A55 Milano Wallet Case Black,34.95,15.20,231,IT-MIL4926,6009553001445
90059050,In Touch Samsung A55 Vanguard Drop Protection Case Clear,29.95,13.02,60,IT-VAN4924,6009553001421
90059480,Samsung Z Fold6 Silm S Pen Case Navy,159.00,96.78,59,EF-OF95PCNEGWW,8806095624198
90059500,Samsung Z Fold6 Clear Case with Strap Clear,69.00,42.00,16,EF-QF956CTEGWW,8806095613871
90059505,Samsung Z Fold6 Vegan Leather Case Grey,119.00,72.43,14,EF-VF956PJEGWW,8806095611860
90059510,Samsung Z Fold6 Vegan Leather Case Tan,119.00,72.43,1,EF-VF956PAEGWW,8806095611945
90059530,Samsung Z Fold6 Clear Case Clear,45.00,27.39,59,GP-FFF956YCATW,4897138060145
90059535,Samsung Z Flip6/7 FE Flipsuit Case Clear,69.00,42.00,1,EF-ZF741CTEGWW,8806095613895
90059545,Samsung Z Flip6/7 FE Flipsuit Case White,69.00,42.00,0,EF-ZF741CWEGWW,8806095705231
90059575,Samsung Z Flip6/7 FE Clear Case with Ring  Clear,59.00,35.91,18,EF-QF741CTEGWW,8806095613888
90060035,Samsung Z Flip6/7 FE Flipsuit Card Keith Haring Photo Yellow,25.00,15.22,4,GP-TOF741SBAYW,8800240236243
90061235,Samsung S24FE Smart View Wallet Case White,75.00,45.65,0,EF-ZS721CWEGWW,8806095768410
90061240,Samsung S24FE Smart View Wallet Case Mint,75.00,45.65,0,EF-ZS721CMEGWW,8806095768427
90061245,Samsung S24FE Smart View Wallet Case Blue,75.00,45.65,0,EF-ZS721CLEGWW,8806095768441
90061250,Samsung S24FE Silicone Case Black,45.00,27.39,79,EF-PS721CBEGWW,8806095769493
90061255,Samsung S24FE Silicone Case Gray,45.00,27.39,80,EF-PS721CJEGWW,8806095769486
90061260,Samsung S24FE Silicone Case Yellow,45.00,27.39,0,EF-PS721CYEGWW,8806095769462
90061265,Samsung S24FE Silicone Case Mint,45.00,27.39,0,EF-PS721CMEGWW,8806095769479
90061270,Samsung S24FE Silicone Case Blue,45.00,27.39,0,EF-PS721CLEGWW,8806095769509
90061280,Samsung S24FE Standing Grip Case Gray,79.00,48.09,0,EF-GS721CJEGWW,8806095765570
90061285,Samsung S24FE Standing Grip Case Yellow,79.00,48.09,0,EF-GS721CYEGWW,8806095765617
90061290,Samsung S24FE Flipsuit Case Yellow,75.00,45.65,0,EF-MS721CYEGWW,8806095772493
