ProductCode,ManufacturerProductCode,ProductTitle,PriceExGST,PriceRRP,ProductCategory,StockOnHand,ProductDescription,ProductManufacturer,PromotionCode,NextAvailableStockDue
141H3AA,141H3AA,"HP 16GB 3200MHz DDR4 Non ECC Memory For Z2 G5 SFF/TWR",171.07,197.00,"Workstation Options",0,"HP 16GB 3200MHz DDR4 Non ECC Memory For Z2 G5 SFF/TWR",HP,,
141H4AA,141H4AA,"HP 16GB 3200MHz DDR4 ECC Memory For Z2 G5 MINI",242.28,279.00,"Workstation Options",0,"HP 32GB 3200MHz DDR4 ECC Memory For Z2 G5 MINI",HP,,
141H5AA,141H5AA,"HP 16GB 3200MHz DDR4 Non ECC Memory For Z2 G5 MINI",242.28,279.00,"Workstation Options",0,"16GB (1x16GB) 3200 DDR4 NECC SODIMM",HP,,
141H6AA,141H6AA,"HP 32GB 3200MHz DDR4 ECC Memory For Z2 G5 MINI",437.67,504.00,"Workstation Options",0,"32GB (1x32GB) DDR4 3200 SODIMM ECC Mem",HP,,
141H7AA,141H7AA,"HP 32GB 3200MHz DDR4 ECC Memory For Z2 G5 SFF/TWR",437.67,504.00,"Workstation Options",0,"HP 32GB 3200MHz DDR4 ECC Memory For Z2 G5 SFF/TWR",HP,,
141H8AA,141H8AA,"HP 32GB 3200MHz DDR4 Non ECC Memory For Z2 G5 MINI",342.15,394.00,"Workstation Options",0,"32GB (1x32GB) 3200 DDR4 NECC SODIMM",HP,,
141H9AA,141H9AA,"HP 32GB 3200MHz DDR4 Non ECC Memory For Z2 G5 SFF/TWR",342.15,394.00,"Workstation Options",0,"HP 32GB 3200MHz DDR4 Non ECC Memory For Z2 G5 SFF/TWR",HP,,
141J1AA,141J1AA,"HP 4GB 3200MHz DDR4 Non ECC Memory For Z2 G5 SFF/TWR",50.37,58.00,"Workstation Options",0,"HP 4GB 3200MHz DDR4 Non ECC Memory For Z2 G5 SFF/TWR",HP,,
141J2AA,141J2AA,"HP 8GB 3200MHz DDR4 ECC Memory For Z2 G5 MINI",155.44,179.00,"Workstation Options",0,"8GB (1x8GB) DDR4 3200 SODIMM ECC Mem",HP,,
141J3AA,141J3AA,"HP 8GB 3200MHz DDR4 ECC Memory For Z2 G5 SFF/TWR",155.44,179.00,"Workstation Options",0,"HP 8GB 3200MHz DDR4 ECC Memory For Z2 G5 SFF/TWR",HP,,
141J4AA,141J4AA,"HP 8GB 3200MHz DDR4 Non ECC Memory For Z2 G5 SFF/TWR",90.31,104.00,"Workstation Options",0,"HP 8GB 3200MHz DDR4 Non ECC Memory For Z2 G5 SFF/TWR",HP,,
141J5AA,141J5AA,"HP 8GB 3200MHz DDR4 NON ECC Memory For Z2 G5 MINI",90.31,104.00,"Workstation Options",0,"8GB (1x8GB) DDR4 3200 SODIMM NECC Mem",HP,,
141J6AA,141J6AA,"HP 1GbE LAN Flex Port 2020",27.79,32.00,"Workstation Options",0,"HP 1GbE LAN Flex Port 2020",HP,,
141J7AA,141J7AA,"HP DP Flex Port 2020",13.89,16.00,"Workstation Options",0,"HP DP Flex Port 2020",HP,,
141L5AA,141L5AA,"HP Z Turbo 1TB TLC Z2 G5 TWR/SFF SSD Kit",437.67,504.00,"Workstation Options",0,"HP ZTurbo 1TB TLC Z2 G5 TWR/SFF SSDKit",HP,,
169L0AA,169L0AA,"HP ELITEDISPLAY E24MV 23.8"" FHD CONFERENCING IPS LED MONITOR",394.72,500.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   5MP Webcam with Stereo Speakers,IPS LED Backlit LCD,16:9 Aspect Ratio,Up to 178 Degrees Horizontal and 178 Degrees Vertical Viewing Angles,250nits Brightness,1000:1 Contrast Ratio,5ms Response Time,1920X1080 @ 60Hz Native Resolution,VGA,DisplayPort and HDMI Input Connectors,Tilt,Swivel and Height Adjustable",HP,43746797,
189T0AA,189T0AA,"HP ELITEDISPLAY E24u G4 23.8"" FHD USB-C DISPLAY",357.88,470.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   IPS Panel,23.8"" Viewable Screen,1920X1080@ 60Hz Optimum Resolution,16:9 Widescreen,Up to 178 Degree Horizontal and Vertical Viewing Angle,250 Nits Brightness,1000:1 Contrast Ratio,5MS Grey to Grey Response Time,1X HDMI 2.0,2X DisplayPorts 1.2 (1X in and 1X out),Tilt Range -5 Degrees to +23 Degrees,Swivel +/- 45 Degrees,15CM Height Adjustable,Pivot Rotation,1X Upstream USB 3.0 and 4X Downstream USB 3.2 Gen 1 Ports,1X 65W USB Type-C",HP,43746797,
189T3AA,189T3AA,"HP ELITEDISPLAY E27u G4 27"" QHD USB-C DISPLAY",494.72,650.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   IPS Panel,27"" Viewable Screen,2560X1440@ 60Hz Optimum Resolution,16:9 Widescreen,Up to 178 Degree Horizontal and Vertical Viewing Angle,250 Nits Brightness,1000:1 Contrast Ratio,5MS Grey to Grey Response Time,1X HDMI 2.0,2X DisplayPorts 1.2 (1X in and 1X out),Tilt Range -5 Degrees to +23 Degrees,Swivel +/- 45 Degrees,15CM Height Adjustable,Pivot Rotation,1X Upstream USB 3.0 and 4X Downstream USB 3.2 Gen 1 Ports,1X 65W USB Type-C",HP,43746797,
1A7E4AA,1A7E4AA,"HP PRODISPLAY P22 G4 21.5"" WIDE LED MONITOR",194.73,255.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.     IPS LED Backlit LCD,16:9 Aspect Ratio,Up to 178 Degrees Horizontal and 178 Degrees Vertical Viewing Angles,250 nits Brightness,1000:1 Contrast Ratio,5ms Response Time,1920X1080 @ 60Hz Native Resolution,VGA,HDMI 1.4 and DisplayPort 1.2 What''s in the box: AC Power Cord Audio Cable VGA Cable HDMI Cable Note: DisplayPort cable not included",HP,43746797,
1A7E5AA,1A7E5AA,"HP PRODISPLAY P24 G4 23.8"" WIDE LED MONITOR",228.41,300.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.     IPS LED Backlit LCD,16:9 Aspect Ratio,Up to 178 Degrees Horizontal and 178 Degrees Vertical Viewing Angles,250 nits Brightness,1000:1 Contrast Ratio,5ms Response Time,1920X1080 @ 60Hz Native Resolution,VGA,HDMI 1.4 and DisplayPort 1.2  What''s in the box: AC Power Cord Audio Cable VGA Cable HDMI Cable  Note: DisplayPort cable not included",HP,43746797,
1A9C9AA,1A9C9AA,"HP Z25xs G3 25"" QHD USB-C DREAMCOLOR DISPLAY",757.87,990.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   IPS 10 Bit Panel,25"" Viewable Screen,2560X1440 @ 60Hz Optimum Resolution,16:9 Widescreen,Up to 178 Degress Horizontal and Vertical Viewing Angle,500 Nits Brightness,1000:1 Contrast Ratio,14MS Grey to Grey Response Time,1X HDMI 2.0,2X DisplayPorts 1.2 (1X in and 1X out),Tilt Range -5 Degrees to +20 Degrees,Swivel +/- 45 Degrees,15CM Height Adjustable,Pivot Rotation,1X Upstream USB 3.0 and 3X Downstream USB 3.2 Ports,1X 15W USB Type-C Port,1X 100W USB Type-C",HP,43733921,15/10/2021
1A9M8AA,1A9M8AA,"HP Z27xs G3 27"" UHD USB-C DREAMCOLOR DISPLAY",999.97,1300.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   IPS Oxide 10 Bit Panel,27"" Viewable Screen,3840X2160 @ 60Hz Optimum Resolution,16:9 Widescreen,Up to 178 Degress Horizontal and Vertical Viewing Angle,600 Nits Brightness,1300:1 Contrast Ratio,14MS Grey to Grey Response Time,1X HDMI 2.0,2X DisplayPorts 1.2 (1X in and 1X out),Tilt Range -5 Degrees to +20 Degrees,Swivel +/- 45 Degrees,15CM Height Adjustable,Pivot Rotation,1X Upstream USB 3.0 and 3X Downstream USB 3.2 Ports,1X 15W USB Type-C Port,1X 100W USB Type-C",HP,43733921,
1AJ39AA,1AJ39AA,"HP Nano Lock",47.76,55.00,"Notebook Options",0,"HP Nano Lock",HP,,
1B065AA,1B065AA,"HP E14 G4 14"" PORTABLE USB-C MONITOR",347.36,515.00,Monitors,4,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.     IPS Micro Edge LED Backlit LCD,16:9 Aspect Ratio,Up to 178 Degrees Horizontal and 178 Degrees Vertical Viewing Angles,400 nits Brightness,800:1 Contrast Ratio,5ms Response Time,1920X1080 @ 60Hz Native Resolution,1X USB-C For Input Power and Data,1X USBType-C,3 Year Warranty",HP,43746797,13/10/2021
1B9T0AA,1B9T0AA,"HP Z27k G3 27"" UHD USB-C DISPLAY",757.87,990.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   IPS Panel,27"" Viewable Screen,2384X2160 @ 60Hz Optimum Resolution,16:9 Widescreen,Up to 178 Degress Horizontal and Vertical Viewing Angle,350 Nits Brightness,1000:1 Contrast Ratio,5MS Grey to Grey Response Time,1X HDMI 2.0,2X DisplayPorts 1.2 (1X in and 1X out),Tilt Range -5 Degrees to +20 Degrees,Swivel +/- 45 Degrees,15CM Height Adjustable,Pivot Rotation,1X Upstream USB 3.0 and 4X Downstream USB 3.2 Ports,1X 100W USB Type-C",HP,43733921,13/10/2021
1B9X2AA,1B9X2AA,"HP Z27u G3 27"" QHD USB-C DISPLAY",578.93,770.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.     IPS Panel,27"" Viewable Screen,2560X1440 @ 60Hz Optimum Resolution,16:9 Widescreen,Up to 178 Degress Horizontal and Vertical Viewing Angle,350 Nits Brightness,1000:1 Contrast Ratio,5MS Grey to Grey Response Time,1X HDMI 2.0,2X DisplayPorts 1.2 (1X in and 1X out),Tilt Range -5 Degrees to +20 Degrees,Swivel +/- 45 Degrees,15CM Height Adjustable,Pivot Rotation,1X Upstream USB 3.0 and 4X Downstream USB 3.2 Ports,1X 100W USB Type-C",HP,43733921,
1C4Z5AA,1C4Z5AA,"HP Z24n G3 24"" WUXGA DISPLAY",368.41,500.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.     IPS Panel,24"" Viewable Screen,1920X1200 @ 60Hz Optimum Resolution,16:10 Widescreen,Up to 178 Degress Horizontal and Vertical Viewing Angle,350 Nits Brightness,1000:1 Contrast Ratio,5MS Grey to Grey Response Time,1X HDMI 2.0,2X DisplayPorts 1.2 (1X in and 1X out),Tilt Range -5 Degrees to +20 Degrees,Swivel +/- 45 Degrees,15CM Height Adjustable,Pivot Rotation,1X Upstream USB 3.0 and 4X Downstream USB 3.2 Ports",HP,43733921,
1C4Z7AA,1C4Z7AA,"HP Z27q G3 27"" QHD DISPLAY",515.77,680.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   IPS Panel,27"" Viewable Screen,2560X1440 @ 60Hz Optimum Resolution,16:9 Widescreen,Up to 178 Degress Horizontal and Vertical Viewing Angle,350 Nits Brightness,1000:1 Contrast Ratio,5MS Grey to Grey Response Time,1X HDMI 2.0,2X DisplayPorts 1.2 (1X in and 1X out),Tilt Range -5 Degrees to +20 Degrees,Swivel +/- 45 Degrees,15CM Height Adjustable,Pivot Rotation,1X Upstream USB 3.0 and 4X Downstream USB 3.2 Ports",HP,43733921,
1CA51AA,1CA51AA,"HP Turbo Drive Gen 2 256GB PCIe Solid State Drive",189.47,335.00,"Desktop PC Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Turbo Drive Gen 2 256GB PCIe Solid State Drive",HP,43746797,
1CA52AA,1CA52AA,"HP 9.5mm DVD Writer For HP Tower Desktop",75.55,87.00,"Desktop PC Options",0,"HP 9.5mm G3 800/600 Tower DVD Writer",HP,,
1CA53AA,1CA53AA,"HP 9.5mm DVD Writer For HP Desktop",74.68,86.00,"Desktop PC Options",0,"HP 9.5mm DVD Writer For PD400 G4/PD600 G3 and ED800 G3",HP,,
1D0H6AA,1D0H6AA,"HP 256GB PCI-e 3x4 NVMe M2 SSD",143.28,165.00,"Notebook Options",0,"HP 256GB PCI-e 3x4 NVMe M2 SSD",HP,,
1D0H7AA,1D0H7AA,"HP 512GB PCI-e 3x4 NVMe M2 SSD",234.47,270.00,"Notebook Options",0,"HP 512GB PCI-e 3x4 NVMe M2 SSD",HP,,
1D0K2AA,1D0K2AA,"HP BT 635 Multi Device Wireless Mouse",80.30,120.00,"Notebook Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP BT 635 Multi Device Wireless Mouse",HP,43732363,
1D0K8AA,1D0K8AA,"HP Creator 935 Bluetooth Wireless Mouse",104.20,165.00,"Notebook Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Creator 935 Bluetooth Wireless Mouse",HP,43732363,
1D3D0AA,1D3D0AA,"HP Always On Black 11.6 Case",31.25,75.00,"HP Notebook Bags",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Always On Black 11.6 Case",HP,43732363,
1FH48AA,1FH48AA,"HP ELITEDISPLAY E243M 23.8"" WEBCAM IPS LED MONITOR",363.15,460.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   720p Webcam with Bang and Olufsen Stereo Speakers,IPS LED Backlit LCD,16:9 Aspect Ratio,Up to 178 Degrees Horizontal and 178 Degrees Vertical Viewing Angles,250nits Brightness,1000:1 Contrast Ratio,7ms Response Time,1920X1080 @ 60Hz Native Resolution,VGA,DisplayPort and HDMI Input Connectors,Tilt,Swivel and Height Adjustable",HP,43746797,
1FH51AA,1FH51AA,"HP ELITEDISPLAY E273M 27"" WEBCAM IPS LED MONITOR",465.78,590.00,Monitors,0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   720p Webcam with Bang and Olufsen Stereo Speakers,IPS LED Backlit LCD,16:9 Aspect Ratio,Up to 178 Degrees Horizontal and 178 Degrees Vertical Viewing Angles,250nits Brightness,1000:1 Contrast Ratio,5ms Response Time,1920X1080 @ 60Hz Native Resolution,VGA,DisplayPort and HDMI Input Connectors,Tilt,Swivel and Height Adjustable",HP,43746797,
1GY94A,1GY94A,"HP DesignJet SD Pro 44-in MFP Printer",20459.25,22500.00,"Large Format Printer Hardware",0,"HP DesignJet SD Pro 44-in MFP Printer",HP,,
1HE07AA,1HE07AA,"HP 45W USB-C G2 AC Adapter",65.12,75.00,"Notebook Options",5,"HP 45W USB-C G2 AC Adapter",HP,,
1HE08AA,1HE08AA,"HP 65W USB-C Power Adapter",69.47,80.00,"Notebook Options",100,"Minimum dimensions (W x D x H): 74 x 74 x 28.5 mm  Weight: 245 g  What''s in the box:  	HP 65W USB-C Power Adapter  	Documentation  	Power Cord",HP,,
1N0T4AA,1N0T4AA,"HP VR 3000 Windows Mixed Reality 4K Reverb G2 HMD No Cntlrs",686.06,899.00,"Workstation Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   Dual LCD 2.89"" Diagonal Displays With Pulse Backlight Technology,2160 X 2160 Pixels Per Eye (4320 X 2160 Pixels Combined),90Hz Refresh Rate,114 Degree Field of View,2X Front Facing and 2X Side Facing Camera Tracking,HP Reverb G2 Inside/Out 6 DOF Motion Tracking,Gyroscope Sensor,Accelerometer Sensor,Magnetometer Sensor,DisplayPort 1.3,USB 3.0 Type C    Contents Include 1X 6M 2 in 1 DP 1.3 and USB Type C Cable,1X Power Cable,1X Mini DisplayPort to DisplayPort Cable",HP,43733921,
1N0T5AA,1N0T5AA,"HP VR 3000 Windows Mixed Reality 4K Reverb G2 HMD",838.69,1099.00,"Workstation Options",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   Dual LCD 2.89"" Diagonal Displays With Pulse Backlight Technology,2160 X 2160 Pixels Per Eye (4320 X 2160 Pixels Combined),90Hz Refresh Rate,114 Degree Field of View,2X Front Facing and 2X Side Facing Camera Tracking,HP Reverb G2 Inside/Out 6 DOF Motion Tracking,Gyroscope Sensor,Accelerometer Sensor,Magnetometer Sensor,DisplayPort 1.3,USB 3.0 Type C    Contents Include 1X 6M 2 in 1 DP 1.3 and USB Type C Cable,1X Power Cable,2X Motion Controllers,1X Mini DisplayPort to DisplayPort Cable",HP,43733921,
1P3K6AA,1P3K6AA,"HP 65W USB-C LC Power Adapter",32.53,37.46,"Notebook Options",0,"HP 65W USB-C LC Power Adapter",HP,,
1PD56AA,1PD56AA,"HP Z Turbo Drive 256GB MLC SSD For Z4/Z6 G4",387.30,446.00,"Workstation Options",0,"HP Z Turbo Drive 256GB MLC SSD For Z4/Z6 G4",HP,,
1PD57AA,1PD57AA,"HP Z Turbo Drive 512GB MLC SSD For Z4/Z6 G4",666.06,767.00,"Workstation Options",0,"HP Z Turbo Drive 512GB MLC SSD For Z4/Z6 G4",HP,,
1PM64AA,1PM64AA,"HP USB-C Mini Dock",160.65,185.00,"Docking Stations",0,"HP USB-C Mini Dock",HP,,
1PV64A,1PV64A,"HP LaserJet Enterprise MFP M528dn Printer",3203.90,4256.48,"Laser Printers",0,"HP LaserJet Enterprise MFP M528dn Prntr - Free Installation redemption via www.hp.co.nz/Freeinstall",HP,,
1PV65A,1PV65A,"HP LaserJet Enterprise MFP M528f Printer",3452.29,4586.48,"Laser Printers",0,"HP LaserJet Enterprise MFP M528f Printer - Free Installation redemption via www.hp.co.nz/Freeinstall",HP,,
1PV67A,1PV67A,"HP LaserJet Enterprise Flow MFP M528z Printer",3715.04,4935.56,"Laser Printers",0,"HP LaserJet Ent Flow MFP M528z Printer - Free Installation redemption via www.hp.co.nz/Freeinstall",HP,,
1PV87A,1PV87A,"HP LaserJet Enterprise M507dn Printer",938.63,1247.00,"Laser Printers",0,"HP LaserJet Enterprise M507dn Printer - Free Installation redemption via www.hp.co.nz/Freeinstall",HP,,28/10/2021
1PV88A,1PV88A,"HP LaserJet Enterprise M507x Printer",1294.66,1720.00,"Laser Printers",0,"HP LaserJet Enterprise M507x Printer - Free Installation redemption via www.hp.co.nz/Freeinstall",HP,,
1QF38A,1QF38A,"HP DesignJet 44-inch Take-up Reel",2594.23,2853.00,"Large Format Printer Accessories",0,"HP DesignJet 44-inch Take-up Reel",HP,,
1QL46AA,1QL46AA,"Intel X550 10GBASE-T Dual Port NIC",464.59,535.00,"Workstation Options",0,"Intel X550 10GBASE-T Dual Port NIC",HP,,
1QL47AA,1QL47AA,"Intel X710-DA2 10GbE SFP+ DP NIC",386.43,445.00,"Workstation Options",0,"Intel X710-DA2 10GbE SFP+ DP NIC",HP,,
1QL48AA,1QL48AA,"Intel 8265 802.11ac PCIe Card",49.49,57.00,"Desktop PC Options",0,"Intel 8265 802.11ac PCIe Card",HP,,
1TJ12A,1TJ12A,"HP Smart Tank 555 AiO Printer *BLACK*",428.84,495.00,"Ink Printers",0,"Promotional pricing on this item is available until 07/11/21 when purchased as a standalone item.   Latest technology delivers outstanding qualityCount on dark,crisp text,and get vibrant color graphics for all your prints   Print fade-resistant photos that last   Create borderless brochures,flyers,photos,and other documents that look great - right in your office   Faster connections,easy productivity Get faster,more reliable connections with dual band Wi-Fi   Get the freedom to work from anywhere with the HP Smart app print,scan,and copy from your phone   Get up to 38% faster speeds compared to previous HP Smart Tank.7 Work fast with the 35-page auto-feeder   High-volume,low-cost printing - innovative design Easily monitor and maintain ink levels with an integrated tank design and an automatic ink sensor   Easily refill your ink tank system with spill-free,resealable bottles   Print at high volumes at an extremely low cost-per-page with this high-capacity ink tank s",HP,43821971,
1VD87A,1VD87A,"HP DesignJet T1700 Postscript Printer",8532.87,9384.00,"Large Format Printer Hardware",0,"HP DesignJet T1700 Postscript Printer",HP,,
1VD88A,1VD88A,"HP DesignJet T1700dr Postscript Printer",11002.53,12100.00,"Large Format Printer Hardware",0,"HP DesignJet T1700dr Postscript Printer",HP,,
1VY59AA,1VY59AA,"HP ZBook x2 Pen",86.84,100.00,"Tablet Accessories",0,"HP ZBook x2 Pen",HP,,
1WC36AA,1WC36AA,"HP USB-C to HDMI 2.0 Adapter",39.07,45.00,"Notebook Options",0,"HP USB-C to HDMI 2.0 Adapter",HP,,
1X644AA,1X644AA,"HP Prelude Pro Recycle Backpack 15.6""",35.40,55.00,"HP Notebook Bags",6,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Prelude Pro Recycle Backpack 15.6"" Designed with sustainability in mind Made with 95% recycled external fabric1 and finished with water-resistant coating,this backpack combines a lightweight and stylish design to encourage innovators and achievers to be their best selves wherever they go Designed around you The shoulder strap is adjustable and padded so you can hustle without restraints as you wade through a busy workday Stay organized on-the-go Protect your laptop from bumps and scrapes with a 15.6"" diagonal padded compartment Zippered pockets designed to keep your belongings organized and give you easy access to sunglasses,phone,wallet,and water bottle on-the-go Commute worry-free Protect your laptop and belongings with the lockable zippers when in a crowded area Designed with reflective accents for visibility in limited daylight.",HP,43732363,
1X645AA,1X645AA,"HP Prelude Pro Recycle Top Load 15.6""",29.20,45.00,"HP Notebook Bags",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   HP Prelude Pro Recycle Top Load 15.6"" Designed with sustainability in mind Made with 65% recycled external fabric1 and finished with water-resistant coating,this top load combines a lightweight and stylish design to encourage innovators and achievers to be their best selves wherever they go Designed around you The shoulder strap is adjustable and padded so you can hustle without restraints as you wade through a busy workday Stay organized on-the-go Protect your laptop from bumps and scrapes with a 15.6"" diagonal padded compartment Zippered pockets designed to keep your belongings organized and give you easy access to phone,wallet,and keys on-the-go Commute worry-free Protect your laptop and belongings with the lockable zippers when in a crowded area Designed with reflective accents for visibility in limited daylight.",HP,43732363,15/10/2021
1X6E8AA,1X6E8AA,"HP T540 THINPRO AMD R1305G 16GF/4GR WIFI THIN CLIENT",419.99,650.00,"Thin Clients",4,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   AMD Ryzen Embedded 1.5GHz 4MB Cache Dual Core Processor,AMD Radeon Vega 3 Intergrated Graphics Processor,16GB Flash,4GB Ram,2X DisplayPort 1.2,Audio in and out,10/100/1000 Gigabit Ethernet,2X USB 2.0,3X USB 3.0,1X USB Type-C,Intel AX200 WiFi 6 and BlueTooth 5.0 Combo,USB Standard Keyboard and Optical Scroll Mouse Included,HP ThinPro",HP,43859351,
1X6E9AA,1X6E9AA,"HP T540 THINPRO AMD R1305G 16GF/4GR THIN CLIENT",405.25,625.00,"Thin Clients",1,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   AMD Ryzen Embedded 1.5GHz 4MB Cache Dual Core Processor,AMD Radeon Vega 3 Intergrated Graphics Processor,16GB Flash,4GB Ram,2X DisplayPort 1.2,Audio in and out,10/100/1000 Gigabit Ethernet,2X USB 2.0,3X USB 3.0,1X USB Type-C,USB Standard Keyboard and Optical Scroll Mouse Included,HP ThinPro",HP,43859351,13/10/2021
1X7P2AA,1X7P2AA,"HP T540 WES 10 IOT AMD R1305G 64GF/8GR THIN CLIENT",515.77,780.00,"Thin Clients",0,"Promotional pricing on this item is available until 30/11/21 when purchased as a standalone item.   AMD Ryzen Embedded 1.5GHz 4MB Cache Dual Core Processor,AMD Radeon Vega 3 Intergrated Graphics Processor,64GB Flash,8GB Ram,2X DisplayPort 1.2,Audio in and out,10/100/1000 Gigabit Ethernet,2X USB 2.0,3X USB 3.0,1X USB Type-C,USB Standard Keyboard and Optical Scroll Mouse Included,Microsoft Windows Embedded Standard 10 IOT",HP,43859351,27/10/2021
1XD84AA,1XD84AA,"HP 8GB DDR4 2666MHz ECC Registered Ram",276.15,318.00,"Workstation Options",0,"HP 8GB DDR4 2666MHz ECC Registered Ram",HP,,
1XD85AA,1XD85AA,"HP 16GB DDR4 2666MHz ECC Registered Ram",454.17,523.00,"Workstation Options",0,"HP 16GB DDR4 2666MHz ECC Registered Ram",HP,,
1XD86AA,1XD86AA,"HP 32GB DDR4 2666MHz ECC Registered Ram",878.82,1012.00,"Workstation Options",0,"HP 32GB DDR4 2666MHz ECC Registered Ram",HP,,
