"Brand","Mftr Code","Description","Long Description","Dove Code","Price","Qty","Category 1","Category 2","Image URL","Product URL","Barcode","Current Due Date"
"Viewsonic","VG2455","ViewSonic VG2455 23.8"" 1920x1080 FHD DP USB Monitor Ergo stand","23.8"" Anti Glare IPS panel, 1920x1080 Max Res, 5ms Response, 1000:1, 50M:1 DCR Contrast Ratio, 1xHDMI 1xDisplay Port, 4xUSB, 1x USB type-C, 1x VGA, 2x2W Speakers, Ergonomic Base - Height Adjust, 120deg Swivel, 90deg Pivot & Tilt, 3 yr limited Warranty. VESA 100 x 100mm. 
NUC mount, Incl DP cable, Type-C cable, eco-friendly biodegradable packaging.","AF2455","325.00","4","Monitors","Unspecified","https://www.dove.co.nz/images/products/20657-1215119.jpg","https://www.dove.co.nz/jump/20657","","40 day(s)"
"Viewsonic","VX2418-P-SMHD","ViewSonic VX2418-P-SMHD 24"" 1920x1080 1ms HDMI DP 165Hz Monitor","23.8"" VA Panel, Full HD 1920x1080, 1ms response time,165Hz, 2xHDMI, 1x Display Port, 2x2W Speakers, VESA 100mm, Adaptivesync, 1xDP Cable, 3 yr Warranty, Tilt -5° - 25° NTSC: 72% size (Typ), sRGB: 103% 
","AF2461","295.00","31","Monitors","_Unspecified","https://www.dove.co.nz/images/products/23735-51087.jpg","https://www.dove.co.nz/jump/23735","766907011500","0 day(s)"
"Viewsonic","VA2715-2K-MHD","ViewSonic VA2715-2k-MHD 27"" 2560x1440 HDMI DP Frameless Monitor","27"" IPS Panel, Frameless, WQHD 2560 x 1440 Max Res, 5ms Response, 2xHDMI 1xDisplay Port, 2x2W Speakers, 104% sRGB, VESA 100mm, 1xHDMI Cable, 3 yr Warranty, Tilt -5° - 22°
Freesync Adaptive Sync 75Hz.","AF2715","434.00","31","Monitors","_Unspecified","https://www.dove.co.nz/images/products/23615-301045.jpg","https://www.dove.co.nz/jump/23615","","0 day(s)"
"Viewsonic","VX2718-2KPC-MHD","ViewSonic VX2718-2KPC-MHD 27"" Curved 2560x1440 HDMI DP 165Hz Monitor","27"" 1500R Curved VA Panel, Frameless, QHD 2560x1440 Max Res, 1ms Response, 2xHDMI 1xDisplay Port, 2x2W Speakers, 102% sRGB, VESA 100mm, 3 yr Warranty, Tilt -5° - 20°, Adaptive Sync","AF2716","359.00","5","Monitors","Unspecified","https://www.dove.co.nz/images/products/22821-5813307.jpg","https://www.dove.co.nz/jump/22821","","0 day(s)"
"Viewsonic","VX2718-P-MHD","ViewSonic VX2718-P-MHD 27"" 1920x1080 1ms HDMI DP 165Hz Monitor","27"" VA Panel, Full HD 1920x1080, 1ms response time,144Hz, 2xHDMI, 1x Display Port, 2x2W Speakers, VESA 100mm, Adaptivesync, 1xDP Cable, 3 yr Warranty, Tilt -5° - 25° NTSC: 72% size (Typ), sRGB: 102% size","AF2717","333.00","3","Monitors","Unspecified","https://www.dove.co.nz/images/products/22822-514307.jpg","https://www.dove.co.nz/jump/22822","766907011272","40 day(s)"
"Viewsonic","VA2719-2K-SMHD","ViewSonic VA2719-2k-SMHD 27"" 2560x1440 HDMI DP Frameless Monitor","27"" IPS Panel, Frameless, WQHD 2560 x 1440 Max Res, 5ms Response, 2xHDMI 1xDisplay Port, 2x3W Speakers, 99% sRGB, VESA 100mm, 1xHDMI Cable, 3 yr Warranty, Tilt -5° - 22°","AF2718","547.00","0","Monitors","Unspecified","https://www.dove.co.nz/images/products/18888-99107.jpg","https://www.dove.co.nz/jump/18888","766907899139","0 day(s)"
"Viewsonic","VG2748","ViewSonic VG2748 27"" 1920x1080 VGA HDMI DP USB Ergo Monitor","27"" IPS Panel, Full HD 1920x1080 Max Res, 14ms Response, 1xVGA, 1xHDMI 1xDisplay Port, 4xUSB,  2x2W Speakers, VESA 100mm, 3 yr Warranty, Ergo Base - Height Adjust 130mm, Swivel 120°, Pivot 90°, Tilt -5° - 40°, Eco-friendly biodegradable packaging.
Incl 1xDisplay Port Cable
","AF2767","359.00","31","Monitors","_Unspecified","https://www.dove.co.nz/images/products/21812-389118.jpg","https://www.dove.co.nz/jump/21812","766907000764","0 day(s)"
"Viewsonic","VP2785-4K","ViewSonic VP2785-4K 16:9 27"" 3840x2160 4K IPS 5ms DP Pro Monitor","27"", Anti Glare, IPS, 3840x2160 Max Res, 10 bit colour processing with over 1.07 Billion Colours, 4.6ms Response,  1xDisplayPort  1xminiDP 2xHDMI, 3xUSB3.1 Type A, 1 x Type-C, VESA 100x100mm, Swivel 120°, Height Adjust 0~130mm, Pivot 90°, Tilt Forward 5° / Back 21°
sRGB, EBU, SMPTE-C, Rec. 709, and DICOM-SIM
","AF2785","1475.00","1","Monitors","Unspecified","https://www.dove.co.nz/images/products/20386-016237.jpg","https://www.dove.co.nz/jump/20386","766907902112","40 day(s)"
"Viewsonic","VX3276-2K-MHD-2","Viewsonic VX3276-2K-MHD-2  32"" 2560x1440 HDMI DP MiniDP  Monitor","31.5"" IPS Panel, Frameless, QHD 2560 x 1440 Max Res, 4ms Response, 2xHDMI 1xDisplay Port 1xMini Display Port, 2x2W Speakers, VESA 100mm, 1x HDMI Cable, 3 yr Warranty, Tilt -4° - 15°, 1.07 Billion colours (10 bits colour depth)","AF3205A","488.00","17","Monitors","Unspecified","https://www.dove.co.nz/images/products/22826-31548.jpg","https://www.dove.co.nz/jump/22826","766907002959","0 day(s)"
"Viewsonic","VX3211-4K","Viewsonic VX3211-4K-MHD 32"" 3840X2160 HDMI DP Monitor","31.5"", MVA Panel, 4k, UHD 3840 x 2160 Max Res, 2.3ms Response, 2xHDMI 1xDisplayPort, 2x2.5W Speakers, VESA 100mm, 1xHDMI Cable, 3 yr Warranty, Tilt -5° - 13°","AF3213","619.00","0","Monitors","_Unspecified","https://www.dove.co.nz/images/products/18891-369185.jpg","https://www.dove.co.nz/jump/18891","766907977912","40 day(s)"
"Viewsonic","VX3218-PC-MHD","Viewsonic VX3218-PC-MHD 32"" Curved 1920x1080 1ms HDMI DP 165Hz Monitor","31.5""  Curved VA Panel, Full HD 1920x1080 Max Res, 1ms Response, 165Hz, 2xHDMI, 1xDisplay Port, 2x2W Speakers, FreeSync, 1xDisplay Port Cable 3 yr Warranty, 100mm VESA","AF3218","477.00","4","Monitors","_Unspecified","https://www.dove.co.nz/images/products/22827-351258.jpg","https://www.dove.co.nz/jump/22827","766907010190","40 day(s)"
"Viewsonic","VA3456-MHDJ","Viewsonic VA3456-MHDJ 34"" 3440x1440 HDMI DP Frameless Monitor","34"" IPS Panel, Frameless, UltraWide QHD 3440 x 1440 Max Res, 4ms Response, 10 bit (8 bit + FRC) 1.07B colours,  2xHDMI 1xDisplay Port, 2x3W Speakers, VESA 100mm, 1xHDMI Cable, 3 yr Warranty, Tilt -4° - 15°","AF3458","650.00","1","Monitors","_Unspecified","https://www.dove.co.nz/images/products/22829-91358.jpg","https://www.dove.co.nz/jump/22829","766907010374","40 day(s)"
"Viewsonic","VG3456","Viewsonic VG3456 34"" 3440x1440 HDMI DP Monitor","34"" VA Panel, Frameless, UltraWide QHD 3440 x 1440 Max Res, 5ms Response, 10 bit (8 bit + FRC) 1.07B colours,  2xHDMI 1xDisplay Port, 2x3W Speakers, VESA 100mm, 1xHDMI Cable, 3 yr Warranty, Tilt -4° - 15°","AF3465","749.00","1","Monitors","_Unspecified","https://www.dove.co.nz/images/products/23265-5013112.jpg","https://www.dove.co.nz/jump/23265","","0 day(s)"
"Acer","UM.QW1SA.001-RM0","Acer UT241Y  24"" Touch 1920x1080 IPS VGA HDMI Type-C Monitor","23.8"" IPS Touchscreen Panel, Full HD 1920 x 1080 Max Res, 4ms Response (GTG), VGA, HDMI,  Type-C + USB3.0x2 (2 down), 2x2W Speakers, VESA 100mm, 3 yr Warranty, Tilt -3° - 88°, Large range tilt-able stand","AF703","522.00","19","Monitors","Touchscreens","https://www.dove.co.nz/images/products/23130-24151612.jpg","https://www.dove.co.nz/jump/23130","4710180016727","0 day(s)"
"Acer","UM.QB2SA.003-RM0","Acer CB242Y 24"" 1920x1080 VGA HDMI DP Ergo Monitor","CB242Yvbmiprx Acer 23.8” FHD IPS 1ms (VRB)  250nits 75Hz  1 x VGA  1 x HDMI  1 x DP  SPK  Height adjust – HDMI cable, Zero Frame, BlueLightShield, Flickerless Technology,  FreeSync","AF7114K","220.00","31","Monitors","_Unspecified","https://www.dove.co.nz/images/products/22934-5311810.jpg","https://www.dove.co.nz/jump/22934","4710886249986","0 day(s)"
"Acer","UM.HB2SA.003-RM0","Acer CB272 27"" 1920x1080 VGA HDMI DP Ergo Monitor","CB272vbmiprx, Acer 27” FHD 1ms (VRB)  250nits  75Hz  1 x VGA  1 x HDMI  1 x DP  Speakers  Height adjust – HDMI cable, Zero Frame, BlueLightShield, Flickerless Technology, FreeSync","AF7221","245.00","26","Monitors","_Unspecified","https://www.dove.co.nz/images/products/22935-5913810.jpg","https://www.dove.co.nz/jump/22935","4710886249993","0 day(s)"
"Acer","UM.QB6SA.B02-CM0","Acer B246HYL 24"" IPS 1920x1080 VGA DVI DP Ergo Height Adjust Monitor","B246HYL Bymiprx 23.8"" Full HD 1920 x 1080 Max Res, 4ms Response, 1xVGA, 1XDVI, 1xDisplayPort, speakers VESA 100mm, 3 yr Warranty, Ergo Base - Height Adjust 150mm, Swivel, Tilt, Rotate Portrait, Zero Frame, BlueLightShield, Flickerless Technology
","AF7228","225.00","101","Monitors","_Unspecified","https://www.dove.co.nz/images/products/23972-23141210.jpg","https://www.dove.co.nz/jump/23972","4710886131724","0 day(s)"
"Acer","UM.QB7SA.006-RM0","Acer Vero BR247Y 24"" 1920x1080 VGA HDMI DP Ergo Eco Monitor","Acer Vero BR247Y 23.8” FHD IPS  4ms 250nits 75Hz  1x VGA, 1x HDMI, 1x DisplayPort, 2x2W speakers, 120mm Height adjust stand, Ecofriendly: 65% PCR ost-consumer recycled material, 100% recyclable packaging.","AF7233","250.00","31","Monitors","_Unspecified","https://www.dove.co.nz/images/products/23929-011169.jpg","https://www.dove.co.nz/jump/23929","","0 day(s)"
"Acer","UM.HB7SA.007-RM0","Acer Vero BR277 27"" 1920x1080 VGA HDMI DP Ergo Eco Monitor","Acer Vero BR277 27” FHD IPS  4ms 250nits 75Hz  1x VGA, 1x HDMI, 1x DisplayPort, 2x2W speakers, 120mm Height adjust stand, Ecofriendly: 65% PCR Post-consumer recycled material, 100% recyclable packaging.","AF7236","305.00","31","Monitors","_Unspecified","https://www.dove.co.nz/images/products/23930-411169.jpg","https://www.dove.co.nz/jump/23930","","0 day(s)"
"Acer","UM.HB7SA.008-RM0","Acer Vero BR277 27"" 1920x1080 VGA HDMI DP USB Ergo Eco Monitor","Acer Vero BR277 27” FHD IPS  4ms 250nits 75Hz  1x VGA, 1x HDMI, 1x DisplayPort, 5x USB3.0, 2x2W speakers, 120mm Height adjust stand, Ecofriendly: 65% PCR post-consumer recycled material","AF7237","360.00","28","Monitors","_Unspecified","https://www.dove.co.nz/images/products/23931-511169.jpg","https://www.dove.co.nz/jump/23931","","0 day(s)"
"Acer","UM.QX3SA.A01-RM0","Acer K243YAbmix 24"" IPS 1920x1080 75Hz VGA HDMI Monitor","K243YAbmix, 23.8"" IPS Panel, Full HD 1920 x 1080 Max Res, 75Hz, 1ms Response, 1xVGA 1xHDMI, VESA 100mm, Zero Frame, BlueLightShield, Flickerless Technology, 3 yr Warranty
Incl HDMI cable","AF7500","165.00","501","Monitors","_Unspecified","https://www.dove.co.nz/images/products/23957-5013610.jpg","https://www.dove.co.nz/jump/23957","4711121061110","0 day(s)"
"Acer","UM.HX2SA.011-RM0","Acer KB272rbi 27"" IPS 1920x1080 VGA HDMI Monitor","KB272rbi, 27"" IPS Panel, Full HD 1920 x 1080 Max Res, 1ms Response, 1xVGA, 1xHDMI, VESA 100mm, Zero Frame, BlueLightShield, Flickerless Technology, 3 yr Warranty","AF7522","190.00","101","Monitors","_Unspecified","https://www.dove.co.nz/images/products/23973-38141210.jpg","https://www.dove.co.nz/jump/23973","4710886773122","0 day(s)"
"Digitus","DA-90399","Digitus 15-32"" Monitor Arm with Clamp Base","Single MonitorArm Stand with Clamp Base, 15"" - 32"", 8kg max, VESA 75x75, 100x100, 5 year warranty, Quick Release function, 31.5cm Max Height adj, 90 ° Rotate, 90 ° Inclination, 360 ° Rotation.","AF814","42.00","101","Mount Brackets (LCD & Proj)","Unspecified","https://www.dove.co.nz/images/products/22625-2516147.jpg","https://www.dove.co.nz/jump/22625","","0 day(s)"
"Digitus","DA-90361","Digitus 15-27"" Single Monitor Stand with Clamp Base","Single Monitor Stand with Clamp Base, Suitable for standard VESA mounting patterns of 75 x 75 and 100 x 100 mm, For monitors up to 69cm (27"") and with a maximum weight of 8 kg, Freely adjustable vertical tilt angle of up to 45°, Freely swivels up to 45°, Can be rotated 360°, Dimensions: 490 x 550 x 116 mm, 5 year warranty","AF820","61.60","0","Mount Brackets (LCD & Proj)","Unspecified","https://www.dove.co.nz/images/products/18857-591327.jpg","https://www.dove.co.nz/jump/18857","4016032424819","15 Dec 22"
"Digitus","DA-90346","Digitus 15-27"" LCD Monitor Stand with Desk Stand Base","LCD Monitor Stand with desk stand Base, 15"" - 27"", 10kg max, Tilt, Swivel, Rotate, Raise,  VESA 75x75, 100x100, 5 year warranty","AF824","47.35","501","Mount Brackets (LCD & Proj)","Unspecified","https://www.dove.co.nz/images/products/15707-59245.jpg","https://www.dove.co.nz/jump/15707","4016032382638","0 day(s)"
"Digitus","DA-90348","Digitus 15-27"" Dual Monitor Stand with Desk Stand Base","Digitus Dual Monitor Arm Desk Stand, black, 90 degree Swivel, 30 degree Tilt,rotate 360ø,15""-27"" TFT, max load 16Kg,VESA max 100x100, 5 year warranty
","AF825","77.00","101","Mount Brackets (LCD & Proj)","Unspecified","https://www.dove.co.nz/images/products/15708-99245.jpg","https://www.dove.co.nz/jump/15708","4016032382669","0 day(s)"
"Digitus","DA-90349","Digitus 15-27"" Dual Monitor Stand with Clamp Base","Digitus Dual Monitor Arm Desk clamp mount, black 90ø Swivel, 30ø Tilt, rotate 360ø,15""-27"" TFT, max load 16Kg,VESA max 100x100, 5 year warranty","AF826","79.50","101","Mount Brackets (LCD & Proj)","Unspecified","https://www.dove.co.nz/images/products/14651-359219.jpg","https://www.dove.co.nz/jump/14651","4016032382676","0 day(s)"
"Digitus","DS-30220-5","Digitus PCIe USB add-on Card","","AF833","29.70","0","IO Cards","_Unspecified","https://www.dove.co.nz/images/products/23797-171428.jpg","https://www.dove.co.nz/jump/23797","","15 Dec 22"
"Digitus","DA-90380-1 ","Digitus Ergonomic Height Adjust Workspace Riser - Sit/Stand - Black","Turn your existing desk into an ergonomic Sit/Stand desk, With the workspace riser you can create your own personal ergonomic workspace at a low pricepoint. You can rise the stand from between 10 to 50cm. Thanks to the big surface area of 95x61cm you can even place up to 2 monitors. Easy to adjust gas spring, Sits on top of your existing desk, Desktop area: 95x62cm, Lower deck for mouse and keyboard, With integrated smartphone or tablet holder, With predrilled hole for monitor mounts with table hole installation for all Digitus mounts with hole / clamp mount, Space for up to 2 monitors, Height adjustable between 10 to 50cm, Weight: 14.6kg

Max load : Desktop 15kg. keyboard tray 2 Kg 


","AF835","189.00","24","Mount Brackets (LCD & Proj)","Furniture & Ergonomics","https://www.dove.co.nz/images/products/18686-814185.jpg","https://www.dove.co.nz/jump/18686","4016032433279","0 day(s)"
"Digitus","DA-90358","Digitus Ergonomic Tabletop Glass Monitor Riser","Create a ergonomic and clutter free desktop, Elegant glass stand,Tempered safety glass, Anti-slip silicone pads for a safe stand, Fits most 13"" (33cm) -32"" (81cm) screens, 8cm height, Max load 20kg, Dimensions: 56 (l) x 21 (w) x 8 (h) cm","AF838","25.10","101","Mount Brackets (LCD & Proj)","Furniture & Ergonomics","https://www.dove.co.nz/images/products/18858-131427.jpg","https://www.dove.co.nz/jump/18858","4016032390206","0 day(s)"
"Digitus","DA-90400","Digitus 15-32"" Universal Dual Arm Monitor Clamp Base Mount","High Quality Dual Monitor Arm Stand with Clamp Base, 15"" - 32"", 8kg max per arm, Tilt, Swivel, Raise, VESA 75x75, 100x100, 5 year warranty, Clamp Height max 70mm","AF840","58.50","31","Mount Brackets (LCD & Proj)","Unspecified","https://www.dove.co.nz/images/products/22626-2616147.jpg","https://www.dove.co.nz/jump/22626","4016032465348","0 day(s)"
"Digitus","DA-90458","Digitus Modular Monitor Riser with 3 Adjustable Heights","Dimension: 435x330x168mm, Weight capacity: 10Kg, Material: Plastic, Modular Multi-Purpose Stand with 3 adjustable heights, Raise your monitor to eye level increase viewing comfort, Front Slot: holds most tablets and phones, Side Slot: for small office supplies etc. Fully Detachable Modular Design: ensures easy installation, Non-Skid Foam Pads: protect work surface from scratches or scuffs, Cable Management: keeps everything organized, Black","AF846","31.30","101","Mount Brackets (LCD & Proj)","Furniture & Ergonomics","https://www.dove.co.nz/images/products/19570-39221.jpg","https://www.dove.co.nz/jump/19570","4016032454564","0 day(s)"
"Digitus","DA-90380-2","Digitus Ergonomic Height Adjust Workspace Riser - Sit/Stand - White","White Colour. Turn your existing desk into an ergonomic Sit/Stand desk, With the workspace riser you can create your own personal ergonomic workspace at a low pricepoint. You can rise the stand from between 10 to 50cm. Thanks to the big surface area of 95x61cm you can even place up to 2 monitors. Easy to adjust gas spring, Sits on top of your existing desk, Desktop area: 95x62cm, Lower deck for mouse and keyboard, With integrated smartphone or tablet holder, With predrilled hole for monitor mounts with table hole installation for all Digitus mounts with hole / clamp mount, Space for up to 2 monitors, Height adjustable between 10 to 50cm, Weight: 14.6kg
Max load : Desktop 15kg. keyboard tray 2 Kg 


","AF856","189.00","0","Mount Brackets (LCD & Proj)","Furniture & Ergonomics","https://www.dove.co.nz/images/products/23005-28162110.jpg","https://www.dove.co.nz/jump/23005","","30 day(s)"
"Brateck","DA-90396","Digitus 17-32"" Single Gas Spring Wall Mount","Single Gas Spring Monitor Wall Mount 17-32"", 8 kg (max.), black
","AF885","60.30","101","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/23577-5015204.jpg","https://www.dove.co.nz/jump/23577","4016032465133","0 day(s)"
"Brateck","LDT30-T01","BRATECK 17'-32' Single Screen Articulating Monitor Stand","The LDT30-T01 allows you to clear up your valuable workspace while providing an ergonomic working position. Constructed of premium aluminium, this rugged mount combined an elegance appearance and sturdy. It can support screens up to 8kg/17.6 lbs and 32"" in size. The LDT30 is ideal for virtually any application due to its’ ability to easily rotate between portrait and landscape orientation. Maximize your desktop space while providing the best viewing option for your eyes.","AF890","55.00","14","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/22962-57121410.jpg","https://www.dove.co.nz/jump/22962","","0 day(s)"
"Brateck","TTV03H-46TW","Brateck 32'-70' Telescopic Height Adjustable Steel TV Cart with Crank ","BRATECK 37""-70"" Telescopic Height Adjustable Steel TV Cart with Crank Handle. Max Weight 50Kgs. VESA Support up to 600x400. Heavy-Duty Casters. Free-Tilting Design
This premium rolling cart has the ability to move your TV or monitor to any room in your home or office. This unit is designed to universally fit most LED, LCD, Plasma TVs, and other flat panel displays from 37”-70”. Constructed from commercial-grade, heavy-duty steel, this rolling mount is rated with a capacity of up to 110 pounds. A convenient, height adjustable component shelf is made to hold a cable box, game console, DVD player, or any other similar device under 11 pounds. This movable cart is loaded with safety features. The four wheels are heavy-duty casters that roll smoothly. Convenient openings in the upright poles and back plate provide space to pass cables and wires through for a clean and uncluttered look
TV Weight Capacity: 	50kg","AF893","529.00","0","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/24007-813911.jpg","https://www.dove.co.nz/jump/24007","","0 day(s)"
"Brateck","TTL03-610TW","Brateck 60""-100"" Large Screen Telescopic Height Adjustable TV Stand","BRATECK 60""-100"" Large Screen Telescopic Height Adjustable TV Cart. Max Weight 100Kgs. VESA Support up to 1000x600. Heavy-Duty Casters. Free-Tilting Design


    Height adjustable TV mount
    Quick-Release Spring Lock adjusts height effortlessly
    Cable Management elegantly hides any cables that are attached to displays
    Free-Tilting Design for multiple monitor viewing angles
    Quick Assembly Shelf assures easy post-installation and height adjustable
    Heavy-Duty Casters offer smooth mobility with quality that lasts a lifetime

","AF895","619.00","0","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/24008-1313911.jpg","https://www.dove.co.nz/jump/24008","","0 day(s)"
"Brateck","LCD-T1028B","Brateck 32'-70' Economy TV Stand","BRATECK 32''-70'' Economy TV Stand, Adjustable TV Height with Metal Shelf. Max VESA: 600x400 (70""+) Min VESA 200x200 (fits most 32""). Tilt: -15~+15. Max weight: 50kg.
","AF899","205.00","3","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/22855-4114118.jpg","https://www.dove.co.nz/jump/22855","","07 Dec 22"
"Brateck","BT-LDT02-C024","Brateck 13-27"" Dual Monitor Stand with Clamp & Grommet Base","Dual Monitor Stand with Clamp/Grommet Base, 13"" - 27"", 8kg max per display, Tilt, Swivel, Raise, Rotate, VESA 75x75, 100x100, No stand available","AF934","77.50","17","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/14166-379296.jpg","https://www.dove.co.nz/jump/14166","9341756002667","0 day(s)"
"Brateck","LCD-LDTBASE","Brateck Desk Stand for LCD-LDT Bracket Range","Desk Stand for Brateck bracket range. Compatible With: LCD-LDT04-C036, LCD-LDT04-C012, LCD-LDT04-C024, LCD-LDT02-C012, LCD-LDT02-C01, LCD-LDT02-C011, LCD-LDT02-C048, LCD-LDT02-C02V, LCD-LDT02-C036 [AF940]","AF941","37.50","1","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/14007-1916146.jpg","https://www.dove.co.nz/jump/14007","","0 day(s)"
"Brateck","LCD-WMB201","Brateck Fixed 13-27"" LCD Wall Mount Bracket","Fixed Bracket, 13-27"", 30kg max, 15mm Slim Profile, VESA 75x75, 100x100. Curved Display Compatible.","AF943","7.50","0","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/14009-3316146.jpg","https://www.dove.co.nz/jump/14009","3967373533412","30 Dec 22"
"Brateck","LPA36-446","Brateck Cantilever 32-55"" LCD Wall Mount Bracket","Cantilever Bracket, Full motion arm, Tilt & Swivel, 32-65"", 50kg max, 64-510mm Profile, Max VESA 400x400. Dual Stud Installation. Curved Display Compatible.","AF948","73.00","5","Mount Brackets (LCD & Proj)","TV Accessories","https://www.dove.co.nz/images/products/14013-5816146.jpg","https://www.dove.co.nz/jump/14013","3965864714807","0 day(s)"
