Brand,Product Types,Product Sub Type,Product Name,Option 1,Option 2,Option 3,Code,Retail Excl,Wholesale Excl
Compulocks,Tablet Enclosure,Floorstand,Brand Me Floorstand Stand with Space enclosure - Surface,iPad 10.2 (7th - 9th Gen),,,COM-140B102IPDSB,1033.91,930.52
Compulocks,Tablet Enclosure,Floorstand,Brand Me Floorstand Stand,Black,,,COM-140B,816.52,734.87
Compulocks,Tablet Enclosure,Wall,Glass mount VESA,,,,COM-201MGL,178.26,160.43
Compulocks,Tablet Enclosure,Power & Cables,iPad Secured KickStand,iPad 10.2 7-9th Gen,,,COM-102KS01KL,256.52,230.87
Compulocks,Tablet Enclosure,Power & Cables,iPad Secured KickStand,iPad 10.9 10th Gen,,,COM-109KS01KL,256.52,230.87
Compulocks,Tablet Enclosure,Power & Cables,iPad Secured KickStand,iPad Mini 6-7th Gen,,,COM-830KS01KL,256.52,230.87
Compulocks,Tablet Enclosure,Power & Cables,Samsung Secured KickStand,Galaxy Tab A9+ 11 (2023),,,COM-11KS01KL,256.52,230.87
Compulocks,Tablet Enclosure,Wall,Compulocks Space iPad Enclosure,iPad 11th Gen (A16),Black,,COM-209IPDSB,260.87,234.78
Compulocks,Tablet Enclosure,Wall,Compulocks Space iPad Enclosure,iPad Air 10.9 4-5th Gen,Black,,COM-E111-B,260,234
Compulocks,Tablet Enclosure,Desk,GlideTab Universal Tablet Holder,Black,,,COM-GLDTABB,239.13,215.22
Compulocks,Tablet Enclosure,Desk,GlideTab Universal Tablet Holder,White,,,COM-GLDTABW,239.13,215.22
Compulocks,Tablet Enclosure,Power & Cables,Universal Blade Bracket with Keyed Cable Lock for Laptops,Silver,,,COM-BLD01KL,186.96,168.26
Compulocks,Tablet Enclosure,Wall,Articulating Arm Stand with Space enclosure - iPad,iPad 10.2 7-9th Gen,,,COM-660REACH102IPDSB,868.7,781.83
Compulocks,Tablet Enclosure,Floorstand,Swift Floor Stand for the Samsung E-Paper Smart Signage,Black,,,COM-150B200ADPB,451.3,406.17
Compulocks,Tablet Enclosure,Floorstand,Swift Floor Stand for the Samsung E-Paper Smart Signage,White,,,COM-150W200ADPB,451.3,406.17
Compulocks,Tablet Enclosure,Floorstand,VESA Floor Stand - Swift,Black,,,COM-150B,373.04,335.74
Compulocks,Tablet Enclosure,Floorstand,VESA Floor Stand - Swift,White,,,COM-150W,373.04,335.74
Heckler,AV Hardware,AV Carts,Stand for Neat Board Pro,,,,H1082-BG,4068.7,3400.27
Heckler,AV Hardware,AV Carts,Logitech Tap Shelf for Mobile Fleet,,,,H1051-BK,268.7,231.77
Heckler,AV Hardware,AV Carts,"Spacer Kit for Surface Hub 85""",,,,H747,155.65,136.09
Heckler,AV Hardware,AV Carts,XL Display Stand - Black,,,,H1050-BK,3529.57,2974.26
Heckler,AV Hardware,AV Carts,XL Display Stand - Black,MK 2,,,H1053-BK,3842.61,3290.13
Heckler,AV Hardware,AV Carts,Stand for Rally Board 65 - Fixed Height - Black Grey,,,,H1030-BG,3155.65,2637.86
Heckler,AV Hardware,Cabinets & Tables,Console Insert for Shure MXWNCS4,,,,H923-BK,599.13,489.27
Heckler,AV Hardware,Desk,Zoom Room Console for iPad 10.2 7-9th Gen,Anti-Microbial White,,,H601-WT,390.43,322.56
Heckler,AV Hardware,AV Carts,Heckler Rolling Stand For Surface Hub 3,Armour,,,H1080-WT-ARMOR,2920.87,2475.04
Heckler,AV Hardware,AV Carts,AV Cart - Device Panel,Black Grey,,,H702-BG,373.04,312.04
Heckler,Tablet Enclosure,Desk,Stand Prime - Samsung,Galaxy Tab A 10.1 (2016),Black Grey,,H464X-BG,268.7,227.83
Heckler,Tablet Enclosure,Desk,Stand Prime - Samsung,Galaxy Tab A 10.1 (2019),Black Grey,,H588X-BG,286.09,241.59
Heckler,AV Hardware,AV Carts,AV Cart - Dual Display Kit,Black Grey,,,H490-BG,1007.83,903.63
Heckler,AV Hardware,AV Carts,AV Cart - Dual Display Kit,,,,H701-BG,1416.52,1209.94
Heckler,AV Hardware,AV Carts,AV Cart - Multi Shelf,Black Grey,,,H491-BG,225.22,196.91
Heckler,AV Hardware,AV Carts,AV Cart - VESA Adapter Kit,,,,H497-BG,277.39,239.48
Heckler,AV Hardware,AV Carts,AV Cart - Logitech MeetUp Bracket,Black Grey,,,H519,120.87,96.32
Heckler,Tablet Enclosure,Desk,Heckler Windfall Pivot Tack,Black Grey,,,T223,25.22,14.49
Heckler,Tablet Enclosure,Desk,Heckler Windfall Pivot Table,,,,T222,33.91,25.95
Heckler,Tablet Enclosure,Desk,Replacement Screws & Keys,"WindFall Wall Mount, Front Mount, Side Mount",,,T232,33.91,26.76
Heckler,Tablet Enclosure,Desk,Replacement Screws & Keys,"WindFall Checkout Stand, Checkout Console, Checkout Stand Tall",,,T238,25.22,17.59
Heckler,Tablet Enclosure,Desk,Replacement Screws & Keys,Heckler AV Meeting Room Console,,,T239,25.22,22.17
Heckler,Tablet Enclosure,Desk,Replacement Screws & Keys,WindFall Conference Room Mount,,,T234,42.61,31.35
Heckler,Tablet Enclosure,Desk,Heckler Windfall Stand Replacement Screws & T-10 Hex Key,WindFall Stand & Frame,,,T226,33.91,24.47
Heckler,Tablet Enclosure,Wall,Heckler Multi Mount for iPad 9.7,Grey White,,,H526-GW,286.09,241.59
Heckler,Tablet Enclosure,Wall,Heckler Multi Mount for iPad 9.7,Black Grey,,,H526-BG,286.09,241.59
Heckler,AV Hardware,AV Carts,AV Cart - Aver VB342 Bracket,,,,H528-BG,207.83,178.56
Heckler,AV Hardware,Camera Mounts,ADA Cam Mount for Jabra Panacast,Black Grey,,,H584-BG,173.04,149.85
Heckler,AV Hardware,Camera Mounts,ADA Cam Mount for Huddly GO & Huddly IQ,Black Grey,,,H583-BG,173.04,149.85
Heckler,Tablet Enclosure,Wall,VESA Mount - Galaxy Tab A 10.1 (2019),Black Grey,,,H589-BG,373.04,305.8
Heckler,AV Hardware,Camera Mounts,PTZ Camera Mount,Black Grey,,,H599-BG,242.61,204.89
Heckler,AV Hardware,AV Carts,AV Cart - Control Panel,Black Grey,,,H705-BG,390.43,325.33
Heckler,AV Hardware,Camera Mounts,Logitech Meetup Tripod Mount,Black Grey,,,H615-BG,146.96,133.16
Heckler,AV Hardware,AV Carts,Heckler AV Cart Prime - Bundle,Black Grey,,,H700-BG,4303.48,3619.07
Heckler,Tablet Enclosure,Wall,Front Mount - iPad 10.2 7-9th Gen,,,,H609-BG,303.48,251.59
Heckler,AV Hardware,Camera Mounts,Eyeline Camera Mount,,,,H598-BG,260,214.07
Heckler,AV Hardware,Camera Mounts,Ceiling Mount for Logitech BRIO,,,,H573-SW,546.96,446.4
Heckler,Tablet Enclosure,Desk,Windfall Stand for iPad Air 13 1st Gen,,,,H549-BG,399.13,326.44
Heckler,Tablet Enclosure,Desk,Windfall Stand for iPad 10.2 7-9th Gen,,,,H600X-BG,303.48,251.59
Heckler,Tablet Enclosure,Desk,Heckler Stand for Neat Pad,,,,H630-BK,164.35,146.09
Heckler,AV Hardware,AV Carts,Heckler AV Cart for Logitech Rally Bar,Black Grey,,,H730-BG,4207.83,3543.39
Heckler,AV Hardware,AV Carts,Heckler AV Cart - Base Configuration,Black Grey,,,H714-BG,3599.13,3057.21
Heckler,AV Hardware,AV Carts,Heckler AV Cart for Logitech Rally Plus - Black Grey,Black Grey,,,H715-BG,4460,3750.28
Heckler,AV Hardware,AV Carts,Control Shelf for Heckler AV Cart,Black Grey,,,H709-BG,303.48,254.71
Heckler,AV Hardware,AV Carts,Cart Mount for Logitech Rally Bar,Black Grey,,,H711-BG,164.35,140.68
Heckler,AV Hardware,AV Carts,Soundbar Mount for Heckler AV Cart,Black,,,H707-BG,233.91,199.67
Heckler,AV Hardware,AV Carts,AV Cart - Device Panel XL,Black Grey,,,H708-BG,451.3,378.08
Heckler,AV Hardware,Desk,Zoom Room Console for iPad 9.7,Black Grey,,,H523-BG,390.43,319.56
Heckler,Tablet Enclosure,Desk,@Rest Universal Tablet Stand,Black Grey,,,H234-BG,138.26,118.92
Heckler,Tablet Enclosure,Desk,Peg Set for @Rest Stand,,,,T228,42.61,31.35
Heckler,Tablet Enclosure,Wall,Side Mount - iPad 10.2 7-9th Gen,Black Grey,,,H604-BG,303.48,251.59
Heckler,AV Hardware,AV Carts,Heckler AV Cart for Google Meet Series One Room Kits,,,,H720-BG,4338.26,3648.89
Heckler,Tablet Enclosure,Desk,WindFall Stand for iPad 10th & 11th Gen Gen with PivotTable,Black Grey,,,H750-BG,355.65,292.87
Heckler,Tablet Enclosure,Desk,WindFall Stand for iPad 10th & 11th Gen Gen,Black Grey,,,H750X-BG,312.17,263.05
Heckler,Tablet Enclosure,Wall,Room Scheduler for iPad 10th & 11th Gen Gen,Side,,,H753-BG,442.61,366.25
Heckler,Tablet Enclosure,Wall,Room Scheduler for iPad 10th & 11th Gen Gen,Front,,,H754-BG,442.61,366.25
Heckler,Tablet Enclosure,Wall,Wall Mount MX for iPad 10th & 11th Gen Gen,,,,H755-BG,442.61,366.25
Heckler,AV Hardware,Wall,OnWall Mount for iPad 10th & 11th Gen Gen,,,,H756-BG,442.61,366.25
Heckler,AV Hardware,Desk,VESA Mount for iPad 10th Gen,,,,H757-BG,303.48,253.05
Heckler,AV Hardware,Desk,Meeting Room Console for iPad 10th & 11th Gen Gen,,,,H760-BG,338.26,282.87
Heckler,AV Hardware,AV Mounts,Dual Display Kit for Heckler AV Wall,,,,H802-BG,2146.96,1798.82
Heckler,AV Hardware,AV Mounts,XL Dual Display Kit for Heckler AV Wall,,,,H803-BG,2564.35,2150.99
Heckler,Tablet Enclosure,,Room Scheduler Mount for iPad Mini 6-7th Generation,Side Mount,,,H659-BG,399.13,331.85
Heckler,Tablet Enclosure,,Room Scheduler Mount for iPad Mini 6-7th Generation,Front Mount,,,H657-BG,399.13,331.85
Heckler,AV Hardware,Camera Mounts,Tripod and VESA Mount MX for iPad,,,,H647-BG,303.48,251.59
Heckler,AV Hardware,Camera Mounts,Tripod and VESA Mount MX for iPad Air 13 1st Gen,,,,H648-BG,407.83,338.73
Heckler,AV Hardware,Desk,Zoom Room Console for iPad 10.2 7-9th Gen,Black Grey,,,H601-BG,425.22,352.49
Heckler,Tablet Enclosure,Wall,OnWall Mount for iPad Mini 6-7th Generation,,,,H658-BG,399.13,331.85
Heckler,AV Hardware,Desk,Heckler Stand for Logitech Tap,Black Grey,,,H660-BG,260,219.48
Heckler,AV Hardware,Desk,Zoom Rooms Console for iPad 10th & 11th Gen Gen,,,,H751-BG,468.7,386.07
Heckler,AV Hardware,Desk,Meeting Room Console for iPad mini,iPad Mini 6-7th Gen,,,H651-BG,338.26,281.4
Heckler,AV Hardware,Desk,Zoom Rooms Console for iPad Mini 6-7th Gen,Black Grey,,,H655-BG,477.39,393.77
Heckler,AV Hardware,Desk,Zoom Rooms Console for iPad Mini 6-7th Gen,Black Grey,PoE Texas Gigabit + PoE Adapter,,H656-BG,677.39,552.01
Heckler,AV Hardware,Wall,Heckler AV Wall Structure,Black Grey,,,H800-BG,3242.61,2726.39
Heckler,AV Hardware,Wall,Controller Mount for Heckler AV Wall,Black Grey,,,H804-BG,155.65,136.09
Heckler,Tablet Enclosure,Desk,Portrait Stand for iPad 10th & 11th Gen Gen,Includes pivot table,,,H759-BG,303.48,253.05
Heckler,Tablet Enclosure,Desk,Portrait Stand for iPad 10th & 11th Gen Gen,,,,H759X-BG,303.48,253.05
Heckler,Tablet Enclosure,Wall,Multi Mount for iPad Mini 4-5th Gen,Grey White,,,H527-GW,286.09,241.59
Heckler,AV Hardware,AV Furniture,Heckler AV Credenza 4U,Black Grey,,,H735-BG,3773.04,3152.05
Heckler,AV Hardware,AV Furniture,Heckler AV Credenza 4U,Off White,,,H735-BG-OW,3773.04,3152.05
Heckler,AV Hardware,AV Furniture,AV Mini Credenza,Black Grey ,,,H892-BG,1868.7,1556.47
Heckler,AV Hardware,AV Furniture,AV Mini Credenza,Off White,,,H892-OW,1868.7,1556.47
Heckler,AV Hardware,AV Furniture,AV Mini Credenza,Blue,,,H892-BL,1868.7,1556.47
Heckler,AV Hardware,AV Furniture,AV Mini Credenza,Green,,,H892-GN,1868.7,1556.47
Heckler,AV Hardware,AV Furniture,AV Mini Credenza,Honey,,,H892-HY,1868.7,1556.47
Heckler,AV Hardware,Camera Mounts,Whiteboard Mount for Logitech Scribe v2,,,,H872-WT,320.87,266.81
Heckler,AV Hardware,AV Carts,Express Install Rolling Stand,Cast,,,H1095-CAST,2346.96,1973.8
Heckler,AV Hardware,AV Mounts,Express Install Tabletop Stand,Cast,,,H1090-CAST,1903.48,1605.58
Heckler,AV Hardware,AV Carts,Standard Column for Heckler Mobile Fleet - Black,,,,H1045-BK,399.13,338.69
Heckler,AV Hardware,AV Carts,Device Panel for Mobile fleet,,,,H1048-CAST,1016.52,855.24
Heckler,AV Hardware,AV Carts,Above Display Camera Mount for Heckler Mobile Fleet,,,,H1043-BK,755.65,618.88
Heckler,AV Hardware,Wall,Video Meeting Hub for Heckler AV Wall,Black Grey,,,H807-BG,2712.17,2294.15
Heckler,AV Hardware,Cabinets & Tables,Heckler Classroom Credenza Mk II,Black Grey,,,H780-BG,4590.43,3848.82
Heckler,AV Hardware,Wall,Heckler Power Adapter Mount for Google Meet Room Kits,,,,H889-BG,225.22,195.08
Heckler,Tablet Enclosure,Wall,Wall Mount MX for iPad Mini 6-7th Gen,,,,H650-BG,320.87,269.11
Heckler,Tablet Enclosure,Wall,Wall Mount MX for iPad Air 13 1st Gen,,,,H649-BG,381.74,320.39
Heckler,AV Hardware,AV Furniture,Heckler Credenza Neo,Cast,,,H1075-CAST,1929.57,1631.07
Heckler,AV Hardware,AV Carts,Collaboration Stand,,,,H1040-BK,2494.78,2087.87
Heckler,AV Hardware,AV Carts,Confidence Stand for Large or Small Displays,Large Displays (65 to 85 inch),,,H1010-BK,2216.52,1877.84
Heckler,AV Hardware,AV Carts,Confidence Stand for Large or Small Displays,Small Displays (37 to 55 inch),,,H1012-BK,2216.52,1877.84
Heckler,AV Hardware,AV Carts,Device Shelf for Heckler Confidence Stand - Black,,,,H1011-BK,842.61,706
Heckler,AV Hardware,AV Carts,Hub for Heckler Mobile Fleet - Black,,,,H1041-BK,1738.26,1490.91
Heckler,AV Hardware,AV Carts,Rally Bar Mount for Heckler Mobile Fleet - Black,,,,H1042-BK,286.09,244.07
Heckler,AV Hardware,AV Carts,Heckler Lectern 4U with Sit/Stand Components,Black,,,H920C-BG,8981.74,7429.47
Heckler,AV Hardware,AV Carts,Heckler Lectern 4U with Sit/Stand Components,White,,,H920C-WT,8981.74,7429.47
Heckler,AV Hardware,AV Carts,Display Mounting Kit for Lectern 4U,,,,H924-BK,407.83,337.91
Heckler,AV Hardware,AV Carts,Lectern Caster Set,Black,,,H904-BK,407.83,335.61
Heckler,AV Hardware,AV Carts,Lectern Caster Set,White,,,H904-WT,407.83,335.61
Heckler,AV Hardware,AV Carts,Console Insert,Shure SBC 220 or SBC 240,,,H910-BK,338.26,278.28
Heckler,AV Hardware,AV Carts,Console Insert,Dual Shure SBC 220 or SBC 240,,,H911-BK,599.13,489.27
Heckler,AV Hardware,AV Carts,Console Insert,Insert Cover,,,H915-BK,268.7,225.53
Heckler,AV Hardware,AV Carts,Console Insert,Shure SBC 200,,,H916-BK,338.26,278.28
Heckler,AV Hardware,AV Carts,Console Insert,Crestron Swivel Mount Kit,,,H917-BK,338.26,278.28
Heckler,AV Hardware,AV Carts,Console Insert,Shure SBC 220 or 240 and A400SM,,,H919-BK,599.13,489.27
Heckler,AV Hardware,AV Carts,Console Insert,Crestron TSW 770 and TSW1070,,,H912-BK,338.26,278.28
Heckler,AV Hardware,AV Carts,Console Insert,Extron AAP 104,,,H913-BK,338.26,278.28
Heckler,AV Hardware,AV Carts,Console Insert,Neat Pad,,,H918-BK,338.26,278.28
POE Texas,Tablet Enclosure,Power & Cables,USB-C to Ethernet Adaptor 25 Watt Output Compatible with IEEE 802.3at Switch or Injector,,,,PT-AT-USBC-JB-USBC,164.35,147.91
POE Texas,Tablet Enclosure,Power & Cables,Lightning to Ethernet Adaptor 25 Watt Output Compatible with IEEE 802.3at Switch or Injector,,,,PT-AT-USBC-JB-Lightning,204.35,183.91
POE Texas,Tablet Enclosure,Power & Cables,PoE Texas PoE to USB-C Power and Data Adapter,,,,T519,160.87,112.6
POE Texas,Tablet Enclosure,Power & Cables,Gigabit PoE+ V4 (802.3at) to USB-C Power + Data Delivery with 25 Watt Output,No Cable,,,PT-GAT-USBC-PD-V4,256.52,230.87
POE Texas,Tablet Enclosure,Power & Cables,Gigabit PoE+ V4 (802.3at) to USB-C Power + Data Delivery with 25 Watt Output,USB-C Cable included,,,PT-GAT-USBC-PD-V4-USBC,256.52,230.87
POE Texas,Tablet Enclosure,Power & Cables,"Gigabit PoE++ (802.3bt) to USB-C Power + Data Delivery with 65 Watt Output with USB-C cable - USB-C compatible with Laptops, iPad Pro 12.9"", Surface Go, Galaxy Tab",30cm USB-C Cable included,,,PT-GBT-USBC-PD-USBC,260,234
POE Texas,Tablet Enclosure,Power & Cables,"Gigabit PoE++ (802.3bt) to USB-C Power + Data Delivery with 65 Watt Output with USB-C cable - USB-C compatible with Laptops, iPad Pro 12.9"", Surface Go, Galaxy Tab",No Cable,,,PT-GBT-USBC-PD,251.3,226.17
POE Texas,Tablet Enclosure,Power & Cables,PoE to USB-C Power Delivery and 10/100 Data Combined,,,,PT-AF-USBC-PD,160.87,112.6
POE Texas,AV Hardware,Power & Cables,Gigabit PoE+ V3 (802.3at) to USB-C Power + Data Delivery with 25 Watt Output,"USB-C Cable included	",,,PT-GAT-USBC-PD-V3-USBC,256.52,230.87
POE Texas,Tablet Enclosure,Power & Cables,PoE+ (802.3at) to USB-C Power + Data Delivery with 25 Watt Output - USB-C with Lightning Cable,,,,PT-GAT-USBC-PD-LIGHTNING,233.91,210.52
POE Texas,AV Hardware,Power & Cables,Gigabit In-wall dual USB (with Ethernet connector) PoE Splitter,,,,PT-GAF-USB2,82.61,74.35
POE Texas,Tablet Enclosure,Power & Cables,POE+ to USB-C Power + Data with USB-A Port,,,,PT-AT-USBC-A-PD-V2,221.74,199.57
POE Texas,Tablet Enclosure,Power & Cables,PoE+ to USB-C Power & Data In-Wall Converter â€“ 25W (Designed for Amazon Echo Hub),,,,PT-AT-HUB-USBC,155.65,140.09
Tab Secure,Tablet Enclosure,Desk,Tab Secure Desk - iPad,iPad 10.9 10th Gen,Black,,TS-DSK114-EEB,216.5217,173.2174
Tab Secure,Tablet Enclosure,Desk,Tab Secure Desk - iPad,iPad Air 13.0 M2 & M3,Black,,TS-DSK116-EEB,216.5217,173.2174
Tab Secure,Tablet Enclosure,Desk,Tab Secure Desk - iPad,iPad Mini 6-7th Gen,Black,,TS-DSK113-EEB,216.5217,173.2174
Tab Secure,Tablet Enclosure,Floorstand,Tab Secure Floorstand - iPad,iPad 11.0 11th Gen,Black,,TS-FST119-EEB,378.2609,302.6087
Tab Secure,Tablet Enclosure,Desk,Tab Secure Desk - iPad,iPad 10.2 7-9th Gen,Black,,TS-DSK110-EEB,216.5217,173.2174
Tab Secure,Tablet Enclosure,Desk,Tab Secure Desk - iPad,iPad 11.0 11th Gen,Black,,TS-DSK119-EEB,216.5217,173.2174
Tab Secure,Tablet Enclosure,Desk,Tab Secure Desk - iPad,iPad Air 11.0 M2 & M3,Black,,TS-DSK115-EEB,216.5217,173.2174
Tab Secure,Tablet Enclosure,Desk,Tab Secure Desk Rotating Base - iPad,iPad Air 13.0 M2 & M3,Black,,TS-ROTA116-EEB,242.6087,194.087
Tab Secure,Tablet Enclosure,Desk,Tab Secure Desk Rotating Base - iPad,iPad 10.2 7-9th Gen,Black,,TS-ROTA110-EEB,216.5217,173.2174
